Edad,Genero,Nivel.educativo,Producto,Precio.unidad,Cantidad,Descuento,Total.pagar,Gasto.promedio,Frecuencia.compra,Rating,Tiempo.web,Influencer,Pago,Compra
54,Masculino,Universitaria,Apple AirPods Pro,144.84,11,30,1115.27,1010.38,19,2.8,17.72,No,Transferencia,Si
67,Femenino,Primaria,Fire TV Stick 4K,122.09,17,9,1888.73,200.09,65,0.9,24.63,Si,Tarjeta de crédito,No
52,Femenino,Primaria,Echo Dot (4th Gen),61.29,23,32,958.58,128.28,141,4.6,8.61,No,Transferencia,Si
23,Masculino,Primaria,Echo Dot (4th Gen),55.4,14,31,535.16,1988.48,128,4.6,23.68,No,PayPal,Si
58,Masculino,Universitaria,Fire TV Stick 4K,82.2,6,31,340.31,911.33,106,4.6,11.47,No,Tarjeta de crédito,Si
56,Femenino,Universitaria,Apple AirPods Pro,67.87,17,2,1130.71,462.14,154,2.8,14.48,Si,PayPal,Si
46,Femenino,Secundaria,Kindle Paperwhite,46.26,14,20,518.11,2590.46,183,1.9,16.85,No,Transferencia,Si
67,Femenino,Primaria,Nintendo Switch,58.17,21,32,830.67,672.27,74,1.9,19.75,Si,Tarjeta de crédito,Si
18,Masculino,Secundaria,Echo Dot (4th Gen),58.69,1,14,50.47,439.36,226,1.8,26.44,No,PayPal,No
21,Masculino,Secundaria,Nintendo Switch,52.55,5,41,155.02,1972.2,52,2.7,13.39,Si,PayPal,No
61,Masculino,Primaria,Kindle Paperwhite,85.38,14,31,824.77,2849.44,34,5.5,26.81,Si,Transferencia,Si
23,Masculino,Universitaria,Echo Dot (4th Gen),74.54,21,45,860.94,825.52,159,2.7,6.34,Si,Tarjeta de crédito,No
48,Masculino,Universitaria,Apple AirPods Pro,147.08,4,39,358.88,2345.69,82,4.6,17.83,Si,Transferencia,Si
41,Masculino,Secundaria,Apple AirPods Pro,110.65,2,1,219.09,1249.46,172,4.5,18.4,Si,Tarjeta de crédito,No
47,Masculino,Primaria,Apple AirPods Pro,146.4,11,9,1465.46,886.35,54,2.7,5.19,Si,Transferencia,No
24,Femenino,Universitaria,Fire TV Stick 4K,90,9,5,769.5,2462.64,4,1.8,11.44,Si,PayPal,No
35,Femenino,Primaria,Echo Dot (4th Gen),82.9,18,30,1044.54,1546.91,288,0.9,13.08,No,Transferencia,No
30,Femenino,Secundaria,Galaxy S23,139.45,1,34,92.04,4102.5,20,0.9,11.72,Si,PayPal,No
60,Masculino,Primaria,Nintendo Switch,132.57,16,1,2099.91,1417.87,12,5.5,27.45,No,PayPal,Si
36,Femenino,Universitaria,Echo Dot (4th Gen),103.21,24,42,1436.68,2.92,149,4.6,19.48,No,PayPal,Si
63,Femenino,Universitaria,Fire TV Stick 4K,120.67,3,5,343.91,1439.24,107,0.9,10.49,No,PayPal,No
57,Femenino,Universitaria,Echo Dot (4th Gen),82.33,16,15,1119.69,208.26,259,0.9,16.4,Si,Tarjeta de crédito,No
57,Femenino,Primaria,Galaxy S23,61.71,2,50,61.71,474.75,47,1.9,4.33,Si,Tarjeta de crédito,Si
32,Masculino,Primaria,Echo Dot (4th Gen),138.62,9,19,1010.54,2183.87,49,0.9,26.62,Si,PayPal,No
56,Femenino,Universitaria,Galaxy S23,123.96,15,37,1171.42,465.91,15,5.5,17.25,Si,Transferencia,Si
39,Masculino,Secundaria,Galaxy S23,89.62,14,6,1179.4,2961.02,2,4.6,15.54,Si,Transferencia,Si
30,Masculino,Primaria,Nintendo Switch,126.71,23,41,1719.45,465.01,34,3.6,5.51,No,Tarjeta de crédito,No
28,Masculino,Secundaria,Nintendo Switch,97.5,19,48,963.3,346.69,16,1.9,5.93,No,Tarjeta de crédito,Si
49,Masculino,Secundaria,Echo Dot (4th Gen),67.53,4,7,251.21,664.02,160,5.5,9.78,No,Tarjeta de crédito,Si
27,Masculino,Primaria,Fire TV Stick 4K,73.42,8,13,511,486.15,162,1.8,19.66,No,Transferencia,No
20,Femenino,Universitaria,Galaxy S23,94.5,2,34,124.74,3486.96,92,1.9,1.85,Si,Transferencia,Si
47,Femenino,Universitaria,Apple AirPods Pro,116.38,7,38,505.09,845.6,25,2.7,16.4,Si,PayPal,No
55,Femenino,Primaria,Nintendo Switch,99.82,7,15,593.93,89.66,2,3.7,14.64,Si,Tarjeta de crédito,Si
39,Femenino,Universitaria,Galaxy S23,100.42,15,37,948.97,138.24,11,1.8,0.37,Si,Transferencia,No
23,Femenino,Primaria,Kindle Paperwhite,99.08,21,1,2059.87,765.67,155,3.7,23.85,No,PayPal,Si
56,Femenino,Primaria,Fire TV Stick 4K,92.31,21,10,1744.66,525.36,91,1.8,1.42,Si,PayPal,No
56,Femenino,Secundaria,Nintendo Switch,67.87,16,42,629.83,853.99,38,3.6,4.97,No,Transferencia,No
40,Masculino,Universitaria,Galaxy S23,104.39,17,38,1100.27,2195.1,55,1.9,1.79,No,Transferencia,Si
64,Femenino,Universitaria,Nintendo Switch,54.9,12,2,645.62,2034.19,247,1.8,13.24,No,Tarjeta de crédito,No
53,Masculino,Universitaria,Kindle Paperwhite,96.23,7,44,377.22,2034.02,73,2.8,10.4,No,Tarjeta de crédito,Si
62,Masculino,Secundaria,Galaxy S23,61.75,10,2,605.15,473.93,183,5.5,14.3,No,Tarjeta de crédito,Si
20,Masculino,Primaria,Echo Dot (4th Gen),62.18,1,37,39.17,797.44,127,3.7,9.77,Si,Tarjeta de crédito,Si
18,Masculino,Universitaria,Galaxy S23,67.14,5,44,187.99,552.96,117,1.9,23.69,No,PayPal,Si
64,Femenino,Secundaria,Echo Dot (4th Gen),114.05,1,14,98.08,2034.72,37,1.8,1.55,Si,Transferencia,No
21,Masculino,Primaria,Apple AirPods Pro,40.41,23,8,855.08,239.95,23,5.5,8.53,Si,PayPal,Si
31,Femenino,Universitaria,Galaxy S23,145.17,11,8,1469.12,136.09,24,4.5,9.5,No,PayPal,No
51,Masculino,Primaria,Apple AirPods Pro,67.9,24,1,1613.3,3220.93,109,0.9,5.13,No,Tarjeta de crédito,No
52,Femenino,Secundaria,Apple AirPods Pro,46.85,18,46,455.38,1540.6,122,4.5,23.07,Si,Transferencia,No
31,Femenino,Universitaria,Fire TV Stick 4K,101.2,20,23,1558.48,1859.9,189,0.9,13.36,No,PayPal,No
50,Masculino,Primaria,Kindle Paperwhite,119.86,19,50,1138.67,1227.68,150,2.7,0.56,Si,PayPal,No
41,Masculino,Secundaria,Fire TV Stick 4K,141.09,20,20,2257.44,840.01,145,5.5,26.79,Si,Tarjeta de crédito,Si
41,Femenino,Secundaria,Nintendo Switch,83.09,13,11,961.35,2146.97,290,3.6,24.2,Si,PayPal,No
22,Masculino,Secundaria,Echo Dot (4th Gen),85.99,22,17,1570.18,38.38,170,4.6,3.25,No,Transferencia,Si
39,Femenino,Universitaria,Kindle Paperwhite,96.98,8,28,558.6,215.19,33,4.6,17.18,Si,PayPal,Si
55,Femenino,Primaria,Galaxy S23,109.4,20,26,1619.12,4826.54,137,3.7,10.36,Si,Transferencia,Si
51,Masculino,Secundaria,Echo Dot (4th Gen),44.21,19,14,722.39,1281.68,31,5.5,11.49,Si,Transferencia,Si
49,Femenino,Secundaria,Fire TV Stick 4K,48.96,12,1,581.64,2294.3,104,3.6,24.88,No,Transferencia,No
35,Femenino,Universitaria,Nintendo Switch,43.58,20,23,671.13,2839.01,229,2.7,5.97,Si,PayPal,No
24,Masculino,Universitaria,Apple AirPods Pro,51.04,24,32,832.97,2560.07,19,0.9,24.06,No,PayPal,No
65,Masculino,Secundaria,Nintendo Switch,51.34,19,42,565.77,53.85,23,2.7,2.52,Si,PayPal,No
45,Masculino,Universitaria,Echo Dot (4th Gen),99.84,6,43,341.45,261.09,29,4.6,9.43,Si,Tarjeta de crédito,Si
44,Masculino,Primaria,Apple AirPods Pro,46.72,22,28,740.04,1799.7,46,1.9,11.22,No,PayPal,Si
70,Masculino,Primaria,Kindle Paperwhite,57.9,11,28,458.57,1877.41,232,2.8,23.91,No,Transferencia,Si
47,Masculino,Universitaria,Nintendo Switch,98.03,11,9,981.28,1000.98,41,4.5,12.08,Si,PayPal,No
39,Masculino,Secundaria,Nintendo Switch,106.14,3,19,257.92,1674.1,35,3.7,24.83,Si,Tarjeta de crédito,Si
62,Masculino,Primaria,Echo Dot (4th Gen),109.75,24,7,2449.62,702.38,54,4.6,8.24,Si,Tarjeta de crédito,Si
19,Femenino,Primaria,Galaxy S23,47.2,22,22,809.95,914.22,140,2.8,4.31,Si,Transferencia,Si
33,Femenino,Primaria,Galaxy S23,143.66,8,38,712.55,3507.6,167,5.5,23.54,Si,Tarjeta de crédito,Si
32,Femenino,Secundaria,Echo Dot (4th Gen),83.07,14,46,628.01,497.67,239,3.6,10.15,Si,PayPal,No
58,Masculino,Universitaria,Kindle Paperwhite,133.86,17,32,1547.42,610.48,83,3.6,10.17,No,PayPal,No
31,Femenino,Secundaria,Nintendo Switch,69.32,8,4,532.38,3026.41,114,5.5,14.81,No,Tarjeta de crédito,Si
23,Femenino,Universitaria,Kindle Paperwhite,45.63,17,31,535.24,842.05,196,4.6,7.92,Si,Tarjeta de crédito,Si
41,Masculino,Primaria,Echo Dot (4th Gen),44.38,19,2,826.36,1271.86,107,2.8,10.81,Si,Transferencia,Si
60,Femenino,Universitaria,Apple AirPods Pro,78.76,13,23,788.39,296.13,21,4.5,4.58,Si,Tarjeta de crédito,No
55,Masculino,Primaria,Kindle Paperwhite,141.08,7,24,750.55,1502.26,29,1.8,9.38,Si,Transferencia,No
32,Femenino,Universitaria,Apple AirPods Pro,65,21,31,941.85,2880.42,74,1.9,6.57,No,Tarjeta de crédito,Si
37,Femenino,Universitaria,Nintendo Switch,137.87,22,48,1577.23,172.26,8,5.5,11.99,No,PayPal,Si
55,Femenino,Primaria,Kindle Paperwhite,104.73,14,19,1187.64,1551.36,32,1.8,22.73,No,Tarjeta de crédito,No
24,Femenino,Primaria,Fire TV Stick 4K,106.98,16,11,1523.4,901.7,269,1.8,5.03,No,PayPal,No
47,Masculino,Universitaria,Galaxy S23,87.5,22,49,981.75,609.17,68,1.8,16.85,Si,PayPal,No
57,Femenino,Secundaria,Kindle Paperwhite,104.61,8,23,644.4,1094.41,73,3.6,25.39,Si,Transferencia,No
26,Masculino,Primaria,Echo Dot (4th Gen),149.13,16,30,1670.26,2350.45,137,1.8,13.12,No,Tarjeta de crédito,No
55,Masculino,Primaria,Nintendo Switch,148.33,11,21,1288.99,2366.01,107,1.9,10,No,Tarjeta de crédito,Si
39,Masculino,Primaria,Nintendo Switch,49.75,21,24,794.01,231.52,4,4.5,19.43,No,PayPal,No
31,Femenino,Universitaria,Apple AirPods Pro,62.07,7,42,252,1171.57,97,2.8,7.45,Si,PayPal,Si
69,Femenino,Universitaria,Echo Dot (4th Gen),83.8,21,18,1443.04,289.37,81,4.5,5.16,Si,Tarjeta de crédito,No
38,Masculino,Primaria,Galaxy S23,129.84,24,27,2274.8,261.25,137,4.5,1.74,Si,Transferencia,No
66,Masculino,Primaria,Echo Dot (4th Gen),45.86,11,4,484.28,1793.62,55,1.9,13.58,No,PayPal,Si
63,Femenino,Secundaria,Nintendo Switch,133.86,23,29,2185.93,2085.34,62,4.6,25.87,No,Tarjeta de crédito,Si
45,Femenino,Primaria,Echo Dot (4th Gen),105.69,17,38,1113.97,3079.9,100,1.8,8.2,Si,Transferencia,No
59,Femenino,Universitaria,Apple AirPods Pro,67.05,12,13,700,947.7,194,4.6,8.09,No,Tarjeta de crédito,Si
40,Masculino,Secundaria,Nintendo Switch,63.31,10,40,379.86,3385.17,116,5.5,27.22,Si,Transferencia,Si
66,Masculino,Universitaria,Kindle Paperwhite,108.98,9,13,853.31,2464.9,30,3.7,22.08,No,Tarjeta de crédito,Si
48,Masculino,Universitaria,Fire TV Stick 4K,139.93,24,37,2115.74,344.49,21,0.9,9.24,No,Transferencia,No
47,Masculino,Universitaria,Nintendo Switch,116.08,10,35,754.52,149.98,154,1.9,13.52,Si,Transferencia,Si
33,Masculino,Primaria,Fire TV Stick 4K,110.97,5,30,388.4,2342.68,61,0.9,11.02,No,PayPal,No
37,Masculino,Universitaria,Echo Dot (4th Gen),75.12,8,5,570.91,315.94,177,2.7,5.81,Si,Tarjeta de crédito,No
60,Masculino,Primaria,Apple AirPods Pro,130.21,17,31,1527.36,191.45,152,0.9,17.55,No,Transferencia,No
32,Masculino,Universitaria,Echo Dot (4th Gen),51.32,13,42,386.95,2694.29,62,0.9,15.82,Si,Tarjeta de crédito,No
49,Masculino,Secundaria,Fire TV Stick 4K,42.41,18,40,458.03,1833.98,92,4.6,18.93,No,PayPal,Si
46,Masculino,Primaria,Apple AirPods Pro,93.86,8,24,570.67,902.82,36,5.5,12.54,Si,Transferencia,Si
67,Femenino,Secundaria,Echo Dot (4th Gen),138.8,5,3,673.18,2030.97,229,3.6,11.71,Si,PayPal,No
21,Femenino,Secundaria,Echo Dot (4th Gen),88.8,19,11,1501.61,2332.98,47,1.8,7.13,Si,Tarjeta de crédito,No
31,Masculino,Universitaria,Galaxy S23,60.13,5,5,285.62,186.74,13,1.8,4.95,No,PayPal,No
68,Masculino,Universitaria,Nintendo Switch,85.29,24,45,1125.83,1145.5,0,2.7,9.84,Si,PayPal,No
61,Masculino,Primaria,Kindle Paperwhite,138.82,9,28,899.55,2711.02,99,2.8,26.69,Si,Transferencia,Si
41,Masculino,Primaria,Fire TV Stick 4K,81.39,15,6,1147.6,510.59,17,4.6,7.36,Si,Tarjeta de crédito,Si
67,Masculino,Universitaria,Apple AirPods Pro,53.03,5,14,228.03,1727.91,31,3.6,11.2,No,PayPal,No
42,Femenino,Universitaria,Echo Dot (4th Gen),116.5,12,42,810.84,2653.32,107,2.7,17.1,No,Tarjeta de crédito,No
18,Femenino,Secundaria,Nintendo Switch,99.71,24,32,1627.27,618.36,68,1.8,9.42,No,PayPal,No
28,Masculino,Universitaria,Galaxy S23,82.32,5,37,259.31,940.62,77,4.5,5.04,Si,PayPal,No
23,Masculino,Primaria,Apple AirPods Pro,87.77,20,9,1597.41,458.92,53,5.5,16.07,Si,Tarjeta de crédito,Si
23,Masculino,Secundaria,Apple AirPods Pro,120.84,4,33,323.85,13.71,140,3.7,8.42,No,PayPal,Si
23,Femenino,Primaria,Apple AirPods Pro,141.42,7,9,900.85,2396.01,79,4.5,8.29,Si,PayPal,No
29,Femenino,Primaria,Kindle Paperwhite,102.29,23,11,2093.88,371.79,41,1.8,8.08,Si,Transferencia,No
24,Masculino,Universitaria,Echo Dot (4th Gen),84.28,8,7,627.04,944.61,104,1.8,16.35,No,Tarjeta de crédito,No
35,Femenino,Universitaria,Galaxy S23,84.7,16,46,731.81,216.3,237,5.5,6.57,No,Tarjeta de crédito,Si
33,Femenino,Primaria,Galaxy S23,103.77,11,18,936.01,2133.22,331,1.8,22.14,Si,Transferencia,No
64,Femenino,Primaria,Echo Dot (4th Gen),77.87,6,38,289.68,2317.47,80,2.7,6.65,No,Transferencia,No
22,Masculino,Secundaria,Apple AirPods Pro,104.55,1,5,99.32,602.22,90,4.5,14.75,Si,Transferencia,No
65,Femenino,Universitaria,Kindle Paperwhite,66.37,15,3,965.68,728.07,214,3.6,11.21,Si,Tarjeta de crédito,No
63,Femenino,Universitaria,Nintendo Switch,63.77,4,25,191.31,926.61,175,2.8,26.74,No,PayPal,Si
50,Masculino,Primaria,Echo Dot (4th Gen),71.09,20,17,1180.09,824.21,76,3.7,20.71,No,PayPal,Si
66,Femenino,Universitaria,Galaxy S23,134.46,12,42,935.84,704.56,35,4.5,25.63,Si,PayPal,No
58,Femenino,Primaria,Nintendo Switch,42.62,14,4,572.81,108.21,97,5.5,5.66,No,Transferencia,Si
65,Femenino,Universitaria,Apple AirPods Pro,74.9,19,30,996.17,449.04,11,1.9,9.05,Si,PayPal,Si
64,Masculino,Primaria,Galaxy S23,92.37,24,39,1352.3,3343.81,113,1.8,14.66,Si,Tarjeta de crédito,No
53,Masculino,Universitaria,Galaxy S23,97.93,20,10,1762.74,1903.19,135,1.8,17.04,Si,Tarjeta de crédito,No
40,Masculino,Secundaria,Apple AirPods Pro,95.01,23,15,1857.45,578.26,103,3.6,1.86,Si,Transferencia,No
29,Femenino,Primaria,Kindle Paperwhite,113.95,23,24,1991.85,2301.91,20,3.7,8.58,Si,Transferencia,Si
64,Femenino,Universitaria,Galaxy S23,80.34,16,14,1105.48,1376.5,131,3.7,8.14,Si,PayPal,Si
66,Masculino,Secundaria,Fire TV Stick 4K,56.55,15,49,432.61,1542.08,10,3.7,26.16,Si,Transferencia,Si
48,Femenino,Secundaria,Kindle Paperwhite,46.3,6,47,147.23,93.33,43,2.8,19.13,No,Tarjeta de crédito,Si
51,Femenino,Secundaria,Echo Dot (4th Gen),93.23,18,19,1359.29,290.31,59,0.9,17.9,Si,Transferencia,No
20,Femenino,Universitaria,Galaxy S23,88.58,10,32,602.34,84.11,223,0.9,2.54,Si,Transferencia,No
60,Femenino,Primaria,Galaxy S23,115.31,4,29,327.48,869.89,155,1.8,23.06,Si,Tarjeta de crédito,No
28,Femenino,Universitaria,Fire TV Stick 4K,68.14,17,14,996.21,980.72,56,4.5,22.76,Si,PayPal,No
48,Masculino,Universitaria,Galaxy S23,43.5,2,18,71.34,1860.79,334,4.6,16.17,Si,PayPal,Si
50,Masculino,Universitaria,Galaxy S23,95.03,16,30,1064.34,1461.99,11,3.7,4.22,No,Transferencia,Si
27,Masculino,Universitaria,Apple AirPods Pro,50.39,13,2,641.97,1694.57,145,1.9,12.39,No,Tarjeta de crédito,Si
62,Femenino,Secundaria,Apple AirPods Pro,113.09,14,32,1076.62,953.93,62,4.6,17.23,Si,Tarjeta de crédito,Si
51,Masculino,Secundaria,Fire TV Stick 4K,80.41,17,35,888.53,1143.88,8,4.6,3.73,No,PayPal,Si
21,Femenino,Universitaria,Kindle Paperwhite,119.12,4,16,400.24,703.81,9,1.9,12.96,No,PayPal,Si
63,Femenino,Secundaria,Fire TV Stick 4K,91.72,2,21,144.92,1908.62,38,3.7,18.86,No,Tarjeta de crédito,Si
48,Masculino,Primaria,Kindle Paperwhite,118.59,2,6,222.95,528.56,21,0.9,22.21,No,Tarjeta de crédito,No
66,Femenino,Universitaria,Nintendo Switch,149.71,23,48,1790.53,1520.36,110,3.6,3.13,No,PayPal,No
64,Masculino,Universitaria,Echo Dot (4th Gen),129.57,22,42,1653.31,2620.07,41,5.5,26.75,No,Transferencia,Si
68,Femenino,Primaria,Galaxy S23,75,8,36,384,3485.29,186,1.8,25.94,No,Tarjeta de crédito,No
57,Femenino,Primaria,Echo Dot (4th Gen),43.11,3,35,84.06,737.34,7,4.5,3.66,No,Transferencia,No
18,Femenino,Secundaria,Kindle Paperwhite,75.19,12,39,550.39,2080.45,203,3.7,19.3,No,Tarjeta de crédito,Si
43,Masculino,Secundaria,Galaxy S23,54.66,14,21,604.54,623.28,39,2.7,4.6,No,PayPal,No
50,Masculino,Universitaria,Nintendo Switch,73.08,9,45,361.75,1992.82,208,2.7,22.88,Si,Transferencia,No
68,Femenino,Universitaria,Apple AirPods Pro,54.72,6,42,190.43,3085.7,54,1.8,25.67,No,PayPal,No
52,Masculino,Universitaria,Galaxy S23,72.82,10,2,713.64,1012.94,113,1.8,14.96,Si,Transferencia,No
24,Masculino,Primaria,Echo Dot (4th Gen),146.01,6,35,569.44,1116.36,158,4.6,6.85,Si,Tarjeta de crédito,Si
67,Femenino,Universitaria,Galaxy S23,137.4,6,44,461.66,2438.81,222,1.8,13.24,No,PayPal,No
48,Masculino,Secundaria,Echo Dot (4th Gen),67.63,11,23,572.83,130.26,60,1.9,20.57,No,Transferencia,Si
27,Femenino,Primaria,Nintendo Switch,100.42,21,4,2024.47,2000.01,115,2.8,27.9,No,Tarjeta de crédito,Si
22,Masculino,Primaria,Echo Dot (4th Gen),99.91,18,34,1186.93,826.2,156,5.5,10.25,Si,Tarjeta de crédito,Si
50,Masculino,Primaria,Fire TV Stick 4K,92.33,6,22,432.1,1336.04,53,4.5,0.86,No,PayPal,No
27,Masculino,Primaria,Kindle Paperwhite,132.06,10,20,1056.48,2217.36,82,2.8,27.87,No,PayPal,Si
18,Femenino,Primaria,Echo Dot (4th Gen),81.76,21,10,1545.26,1437.21,53,0.9,2.93,No,PayPal,No
60,Femenino,Secundaria,Galaxy S23,106.53,24,12,2249.91,620.04,17,3.7,24.31,Si,Tarjeta de crédito,Si
40,Masculino,Secundaria,Echo Dot (4th Gen),131.56,9,26,876.19,258.33,169,3.6,21.52,No,Transferencia,No
24,Masculino,Secundaria,Echo Dot (4th Gen),88.58,21,39,1134.71,720.34,5,2.7,23.98,No,Tarjeta de crédito,No
59,Femenino,Universitaria,Apple AirPods Pro,110.05,1,40,66.03,1893.68,122,1.8,0.93,No,Tarjeta de crédito,No
18,Femenino,Universitaria,Nintendo Switch,127.19,16,31,1404.18,1312.68,79,4.6,18.01,No,PayPal,Si
21,Masculino,Universitaria,Fire TV Stick 4K,138.54,6,1,822.93,2779.89,73,4.5,21.97,Si,Transferencia,No
33,Masculino,Universitaria,Galaxy S23,69.74,16,10,1004.26,1634.81,110,1.8,17.92,No,Transferencia,No
51,Masculino,Secundaria,Kindle Paperwhite,69.39,9,22,487.12,186.71,61,5.5,2.79,No,Tarjeta de crédito,Si
45,Femenino,Secundaria,Galaxy S23,58.13,15,37,549.33,1737.84,56,0.9,23.48,No,Tarjeta de crédito,No
36,Masculino,Secundaria,Nintendo Switch,80.98,17,32,936.13,159.32,88,4.6,27.27,No,PayPal,Si
52,Femenino,Universitaria,Apple AirPods Pro,123.63,13,1,1591.12,1024.56,110,5.5,27.17,Si,Tarjeta de crédito,Si
59,Masculino,Secundaria,Echo Dot (4th Gen),44.89,23,13,898.25,2110.06,150,2.7,15.81,Si,PayPal,No
24,Femenino,Universitaria,Nintendo Switch,104.76,7,5,696.65,457.2,178,5.5,15.03,No,Transferencia,Si
38,Femenino,Primaria,Nintendo Switch,59.14,22,12,1144.95,3431.79,132,4.5,22.92,No,Tarjeta de crédito,No
40,Masculino,Universitaria,Fire TV Stick 4K,50.06,21,34,693.83,1575.19,85,3.7,6.2,No,PayPal,Si
38,Femenino,Secundaria,Echo Dot (4th Gen),148.23,20,19,2401.33,1112.66,182,3.7,5.65,Si,Tarjeta de crédito,Si
23,Masculino,Primaria,Kindle Paperwhite,60.93,21,10,1151.58,2147,35,3.7,4.31,Si,Transferencia,Si
20,Femenino,Universitaria,Galaxy S23,85.16,12,13,889.07,1281.06,109,5.5,23.34,No,Tarjeta de crédito,Si
58,Masculino,Primaria,Nintendo Switch,85,23,33,1309.85,1618.62,32,2.7,8.53,Si,PayPal,No
67,Masculino,Primaria,Galaxy S23,63.28,9,11,506.87,579.87,14,1.9,1.4,Si,PayPal,Si
52,Femenino,Universitaria,Nintendo Switch,55.07,19,35,680.11,1066.47,44,1.9,23.64,No,Transferencia,Si
36,Femenino,Primaria,Galaxy S23,109.38,23,14,2163.54,709.65,229,4.5,3.7,No,Transferencia,No
26,Femenino,Secundaria,Kindle Paperwhite,80.3,3,21,190.31,465.95,134,4.6,8.13,No,Transferencia,Si
48,Masculino,Universitaria,Fire TV Stick 4K,135.27,20,24,2056.1,2334.99,140,3.6,8.19,Si,PayPal,No
65,Femenino,Universitaria,Fire TV Stick 4K,92.08,7,28,464.08,2972.88,56,0.9,10.7,No,Transferencia,No
22,Femenino,Secundaria,Echo Dot (4th Gen),85.64,9,40,462.46,712.75,100,1.8,23.95,No,Tarjeta de crédito,No
56,Femenino,Primaria,Apple AirPods Pro,91.7,2,4,176.06,1470.39,65,1.9,23.4,Si,PayPal,Si
25,Femenino,Universitaria,Echo Dot (4th Gen),135.24,24,31,2239.57,1176.45,191,4.5,11.6,Si,Transferencia,No
34,Femenino,Primaria,Fire TV Stick 4K,59.7,13,46,419.09,2300.12,243,3.7,2.52,No,PayPal,Si
29,Femenino,Primaria,Galaxy S23,98.59,24,5,2247.85,2942.69,90,5.5,5.16,Si,Transferencia,Si
54,Femenino,Primaria,Echo Dot (4th Gen),54.44,18,15,832.93,2397.37,305,2.8,8.63,Si,Transferencia,Si
57,Masculino,Secundaria,Kindle Paperwhite,135.82,22,38,1852.58,1853.52,72,5.5,19.33,Si,PayPal,Si
39,Masculino,Primaria,Nintendo Switch,68.52,12,20,657.79,1319.1,128,3.6,8.85,Si,Tarjeta de crédito,No
44,Femenino,Secundaria,Kindle Paperwhite,147.49,16,3,2289.04,1928.89,195,1.9,14.04,No,Transferencia,Si
58,Femenino,Secundaria,Galaxy S23,144.16,10,21,1138.86,261.71,73,4.5,12.87,No,Tarjeta de crédito,No
25,Femenino,Primaria,Fire TV Stick 4K,59.9,19,12,1001.53,617.82,174,2.7,12.05,Si,Tarjeta de crédito,No
29,Masculino,Primaria,Fire TV Stick 4K,98.24,8,39,479.41,4535.93,167,1.9,26.55,No,PayPal,Si
46,Femenino,Secundaria,Nintendo Switch,114.51,21,33,1611.16,811.58,67,0.9,19.24,Si,PayPal,No
41,Masculino,Secundaria,Fire TV Stick 4K,48.28,3,33,97.04,2699.67,80,1.9,2.26,No,Tarjeta de crédito,Si
50,Masculino,Primaria,Kindle Paperwhite,129.08,7,44,505.99,445.96,181,2.8,22.2,No,PayPal,Si
34,Femenino,Universitaria,Apple AirPods Pro,112.45,24,24,2051.09,1308.09,96,4.5,18.34,No,Transferencia,No
29,Masculino,Universitaria,Apple AirPods Pro,145.07,22,13,2776.64,1436.69,145,1.8,6.22,No,Transferencia,No
53,Masculino,Universitaria,Echo Dot (4th Gen),99.84,6,33,401.36,2238.4,171,5.5,18.84,No,PayPal,Si
20,Femenino,Secundaria,Nintendo Switch,92.12,7,9,586.8,1896.92,91,2.8,8.97,No,Transferencia,Si
33,Femenino,Primaria,Kindle Paperwhite,72.57,9,33,437.6,1464.41,107,1.9,26.51,No,Tarjeta de crédito,Si
57,Femenino,Universitaria,Apple AirPods Pro,60.39,24,8,1333.41,504.71,267,3.6,7.95,No,Tarjeta de crédito,No
70,Femenino,Universitaria,Fire TV Stick 4K,127.18,5,32,432.41,1638.12,103,4.5,23.02,Si,Transferencia,No
40,Femenino,Universitaria,Kindle Paperwhite,78.9,10,26,583.86,342.92,22,4.5,21.15,Si,PayPal,No
46,Femenino,Primaria,Galaxy S23,108.54,14,30,1063.69,1810.48,119,4.6,25.89,Si,Transferencia,Si
70,Femenino,Secundaria,Nintendo Switch,112.35,6,19,546.02,2736.23,283,3.7,12.2,No,Tarjeta de crédito,Si
62,Masculino,Secundaria,Echo Dot (4th Gen),58.69,23,6,1268.88,1575.5,101,1.9,10.11,Si,Transferencia,Si
51,Masculino,Secundaria,Apple AirPods Pro,69.26,1,14,59.56,5700.79,18,3.6,3.52,Si,Tarjeta de crédito,No
23,Masculino,Secundaria,Echo Dot (4th Gen),148.5,20,50,1485,97.63,299,5.5,20.54,Si,Tarjeta de crédito,Si
21,Masculino,Universitaria,Galaxy S23,49.75,10,8,457.7,556.1,174,3.6,1.86,No,PayPal,No
44,Masculino,Universitaria,Galaxy S23,104.09,7,30,510.04,2526.93,128,0.9,6.53,Si,PayPal,No
69,Femenino,Secundaria,Apple AirPods Pro,75.33,11,44,464.03,1249.46,262,1.9,19.96,No,Tarjeta de crédito,Si
20,Femenino,Universitaria,Nintendo Switch,100.48,9,40,542.59,843.1,8,3.7,11.9,No,PayPal,Si
26,Femenino,Secundaria,Apple AirPods Pro,110.23,10,41,650.36,1313.12,62,4.5,14.74,No,Transferencia,No
33,Masculino,Universitaria,Nintendo Switch,81.27,18,15,1243.43,112.81,236,2.8,9.94,Si,PayPal,Si
57,Masculino,Universitaria,Apple AirPods Pro,121.36,1,36,77.67,817.14,122,3.6,18.55,Si,PayPal,No
